name,bio
Minotaur Skullcrusher,"Minotaurs only worship Gonfurian and war itself, and Skullcrushers are the
shamans who fan the flames of tradition with their words and rituals, which
range from dances that would be very picturesque outside a Minotaur tribe, to
sacrifices. Some warriors who face a Minotaur Skullcrusher may think its
weapon is fragile, as it looks like a human skeleton, but in fact it is made of a
heavy metal that can only be found in the Kingdom of Heretics, and
Skullcrushers can break common swords with it.
"
Minotaur Warrior,"Minotaurs are trained for war from the moment they are able to wield a
weapon. Some Minotaur Warriors, however, abandon their tribe and try to mug
adventurers who might have something of value. This is probably because,
despite their fierce appearance, they are actually the weakest of their kind.
"
Mirage Occultist,"In those times of magic advancement, some Magi managed to contact the
Gods. Or at least they thought they had initiated the contact themselves.

If the Mirage Occultist's staff is taken away from her, she falls to the ground
and remains immobile. After a few seconds, she dies. When he analyzed the
staff, Helmholtz discovered that, in addition to sharing some properties of
Nether Orbs, it has tissue inside that resembles that of human lungs.
"
Mist Crusader,"When several Mist Crusaders gather in a large group, a cloud of steam forms
around them that prevents anyone from seeing what is happening inside it.
This event has only taken place a few times in history; sometimes to protect
the creatures of the forest, other times to bring justice to gangs of marauders
that ravaged villages and small towns. Warrior tribes and criminals who
perform such activities keep watch at night in case the mysterious mist appears
in the distance.
"
Mite Gravedigger,"This creature often roams graveyards and hides in holes it digs itself or on the
roof of crypts until no noise is heard. Then it leaves its hiding place and looks
for recent tombs to feed on the flesh of the newly buried corpses. Like the rest
of its species, it has a nose for magic that sometimes makes it behave
aggressively when it encounters a Mage.
"
Mite Interloper,"Cautious and observant, the Mite Interloper waits for nightfall to act. It sneaks
into cities through the sewers, and from there it tries to enter large food
warehouses to eat the leftovers. If it is not hungry, it follows its nose to magic
item shops, since it likes to collect such devices, probably because of their
smell. Even so, it hardly ever succeeds, as the numerous thefts have forced
the inhabitants of Rodia to reinforce their businesses"" security and use traps.
"
Mite Invader,"When Regalis created the Mites, Vertraag burst out laughing and asked her if
her inspiration for them had been some sort of alien creature, or if her taste
was just that bad. Of course, Regalis just took that as a compliment.

Mite Invaders always travel in groups, leaving a trail of barren land wherever
they pass. They are considered a plague in every kingdom of Radia, and there
is always a small bounty for any mercenary group willing to exterminate them.
"
Mite Paralyzer,"Regalis created this creature to face the Creeping Arachnalisk and teach the
God of Time a lesson. She even had him witness the encounter. When
Vertraag saw how the creature that would fight his creation really looked like an
alien, he knew his words had not hurt Regalis in the least, but rather
encouraged her. The battle was over in a heartbeat, as the poison produced by
the Mite Paralyzer can stun even an elephant. Then, Regalis turned to Vertraag
and congratulated him sarcastically on his dirty trick.
"
Mite Plaguespreader,"This creature was once believed to be extinct, but it seems that killing off the
progeny of Regalis is extremely complicated. The Mite Plaguespreader is a
known transmitter of contagious diseases, and on one occasion it brought a
rare and deadly disease to Andolin that forced the authorities to put the
kingdom into quarantine for several months. Plaguespreaders whoa live in cities
hide in the sewers and come out at night to eat garbage.
"
Mite Skirmisher,"This creature lives mainly in rocky valleys and is an expert climber, as well as a
relentless predator. When it sees a goat trying to climb or descend the
mountain, it quickly moves towards it and headbutts it to make it fall. The color
of its exoskeleton allows it to blend in with its surroundings, but if it moves
carelessly, it can fall prey to large birds, so it remains motionless most of the
time.
"
Mite Webweaver,"This creature is responsible for one of the most unpleasant landscapes in the
country. Like Arachnalisks, Mites reach peaks of overpopulation once or twice
a century. When the forests of Radia are completely tangled in cobwebs, a
disgusting sight that causes serious damage to ecosystems, it means it is time
for the authorities to take measures. Its silk also allows it to survive in extreme
environments and to immobilize its enemies.
"
Mithril Imler,"Imlers and Imlings are intelligent creatures who have developed their own
languages. Although they can learn the human language, it is hard for them to
speak it due to their vocal tract.

Mithril Imlers have an extremely hard skin with magical properties that only
affect those of their kind. It also turns them into prey, as many in the upper
echelons of society desire their skin for its beautiful glow. Therefore, they
usually live in the depths of their villages, never exposing themselves.
"
Mitida Ophan,"The Ophans' appearance is not without purpose. Watchers hesitated to attack
creatures similar to them, which made them lose the initiative.

The Mitida Ophan can alter magical items with a mere thought, extracting the
spells inside of them without even touching them. It served a key role in the
Watcher War, enabling its allies to share their spells.
"
Mogwai,"A group of veteran explorers found a frozen creature one day while traveling
through the Frostbite Caverns in Sithicus. They took it with them and built a
camp. While they debated about its possible species around the bonfire, the
black of ice began to crack and the creature emerged. They did not understand
how it could have survived or how the ice had broken, but it seemed like a kind
and loving creature, so the explorers went to sleep without a worry. Upon
awakening, they realized the creature had stolen all their money, as well as
important tools and climbing gear. With great difficulty, they returned to the
capital and looked for information about what had happened to them. They had
been lucky. A student at the Magic University of Andolin explained that the
creature was believed to be extinct, in part because its extermination had been
ordered. This creature is kind and gentle while it is cold, and it can use ice to
enter a state of stasis indefinitely, but when it gets warm it becomes a deceitful,
malicious being who sometimes kills others for fun.
"
Monstrous Gargantuan,"Due to the violent tremors that occur during the mating season of the
Gargantuans, the villagers near their territory wrap their fragile okjects in
blankets as a precaution.

Some goblins make their towns in the back of Monstrous Gargantuans. They
even build defensive towers and walls. When this creature enters battle, the
goblins climb the battlements of their small fortress and drop heavy rocks on
their enemies.
"
Moon Crusader,"When this creature's mace hits the body of its enemies, the opaque sphere on
its head absorbs all light around it. For a moment, darkness falls and
uncertainty reigns. The Moon Crusader is a warrior of light who travels the
world in search of forgotten magic that continues to overflow and could cause
disasters. Using the power of its two spheres, it can absorb this energy and
contain the magic items that emit it... or simply destroy them with its incredible
strength.
"
Moon Hunter,"At night, Hunters light bonfires and dance around the flames for hours while
their wolf companions play on the dirt, biting and pouncing on each other. The
Moon Hunter, however, stands aside and meditates. The crescent-shaped
edge of its staff shines brightly during the dance, as it is recharged with the
positive energy that results from the Hunters strengthening their bonds. This
makes the weapon much deadlier in battle.
"
Moon Leech,"Of the five newest Gods, Mortem was the only one who did not create a realm
to stop the advance of the Itherian Realms. Instead, he created a powerful seal
inside the body of a creature the size of a star.

This dangerous creature flies high in search of prey, then drops on them.
Fortunately, its sense of smell is not entirely accurate, so it ends up hitting the
ground an alarming number of times. When this happens, the only thing left of
the creature is a slimy, lifeless mass.
"
Mortem,"Hexilo was a necromancer blinded by his search of knowledge. For more than
a decade he faced River, Siralim's most powerful Magi at the time. In reality,
they both studied together at the Refuge of the Magi, and were very good
friends, but Hexilo left the kingdom after graduating and unleashed chaos in a
nearby nation with his experiments. In the midst of one of their countless
battles, Dragan himself, one of the two founders of the Auditors, appeared in
person and stopped the fight, not without some difficulty. Hexilo accepted the
offer without hesitation, fascinated by the idea of the organization; while River,
who had serious doubts, only did it to keep tabs on his arch-enemy. For over
ten years, Hexilo worked for the Auditors under the codename Twilight. After
the incident in the Refuge of the Magi, the number of Voidlords increased
exponentially. Sevalah knew that even the power of Tenebris would be
insufficient to create a place capable of attracting the Voidlords to reduce their
influx, so she designed a plan in which Mortem would also participate. Thus,
the two ancient rivals created the Bastion of the Void.
"
Moss Golem,"Although a Moss Golem will never disobey an order from the Mage to whom it
belongs, it prefers to live in the depths of a forest, where it can stay completely
still and blend with its environment. If it hears the sound of woad yielding to the
steel of an axe, it will open its eyes and start moving with the sole purpose of
destroying the one who dared damage its home.
"
Mountain Priest,"Innumerable wars raged on the land the Gods had created for their children. In
an attempt to stop the endless spiral of destruction, Yseros created Lister from
forty-two Nether Orbs.

Priests are worshipped instead of Gods in many temples. For some reason,
the 300-pound Mountain Priest tried to help the tribes of Trolls and other
creatures that did not live in the plains. Although its work was not as productive
as that of the other Priests, it managed to considerably reduce their pillaging.
"
Mouth of Hell,"It appeared in Rodia shortly after a Mage first managed to meet and defeat the
Pandemonium King. She was somehow able to summon this creature after
that, and she invited her colleagues to join her for dinner, to experiment on it
and boast of her victory. It did not end well for anyone, as the Mouth of Hell
decided to explode into a thousand pieces while they were still eating.
"
Moving Arbiter,"On many occasions, Arbiters have no choice but to take action and confront all
kinds of thugs. Many consider these creatures altruistic vigilantes who ensure
the safety of every person in the world.

Some warriors who stood out for their physical strength end up becoming
Moving Arbiters. They are not known for resolving conflicts peacefully, but they
will not hesitate to intervene in a robbery or go after a thief.
"
Mud Golem,"The Mud Golem is the creature that inspired the legendary Mage Helmholtz to
create his artificial Golems. It is believed that it dates back to the creation of the
first Spell Gems. It hibernates during the cold season, but it is possible to see it
near abandoned temples when the weather is warmer, protecting ancient
magic that has long been lost to time.
"
Mummy Lord,"Over the centuries, the design of mummies changed and began to include
more colorful ornaments, among which were the strange orbs that the
explorers found in the wastelands.

When the Mummy Lord's orbs activate, they create a force field around it that
protects it from blows. Its appearance inspired respect in the people of Kaito,
and many prostrated themselves and begged for forgiveness.
Unceremoniously, this creature lifted its leg and crushed their skulls against the
ground.
"
Mumu,"Mumu is just one of the many infants that were cruelly murdered by an
overzealous Nightveil Spectre who sought to make a game out of knifeplay.
Now, Mumu wanders the lands as a compressed, corrupt version of what its
existence would have been had it not been killed, snatching children from their
homes and gobbling them up in a single bite.
"
Muse,"Muse is almost as old as art, although for thousands of years no one knew she
existed because she has never moved beyond her realm. Her realm is one of
the few that are popular tourist destinations. The reason is very simple—all
works of art that are conceived in the world and the different realms are
manifested in the Astral Gallery as living beings. Of course, this phenomenon
attracts a multitude of thugs who want to kidnap them to sell or kill them for fun.
The Godess of Creation vehemently condemns their actions and does not
hesitate to reward anyone who helps her deal with this problem.
"
Mutant Hemomancer,"The new realms also served as a way to seal dangerous creatures that
threatened the safety of the world, like the Voidlords, who could erase any
creature from existence.

With enough concentration, Hemomancers can draw a creature's blood
through a wound and move it through the air, or drive their own blood into an
organism. If a Mutant Hemomancer introduces enough of its blood into another
creature's circulatory system and it is not removed in time, an irreversible
transformation takes place that turns the creature into a mindless Hemomancer
who only obeys the orders of a Hemomancer Lord.
"
Mutated Crypt Bat,"Mutated Crypt Bats have developed intelligence due to prolonged exposure to
magic. They are also known as ""windfangs"" in many places because of their
ability to fly at extraordinary speeds, and they are capable of tearing off large
chunks of flesh from their prey before it even notices anything is wrong.
"
Mutated Pulse Bat,"These creatures are the reason why many villages and towns have Familiars
watching over the streets, signs with drawings of Familiars, or even scarecrows
in the shape of them, as Mutated Pulse Bats are quite scared of that species.
They are self-aware, and they find it easier to raid human larders than to waste
time hunting for wild animals.
"
Mutated Vampire Bat,"Just like standard Vampire Bats, they seem to be attracted to coins, though in
their case it is for a good reason. These intelligent creatures are literate, and
they often visit the marketplaces of towns and villages to buy food and books.
They usually live in abandoned houses near urban areas and earn their living
as messengers, although many of them prefer to simply attack travelers and
steal their money.
"
Mystery Mucus,"A single tablespoon of the substance Concoctions are made of is enough to
fatally poison more than 10 individuals.

The Mystery Mucus carries a barrel, but nobody knows what could be inside. It
is literally a mystery! Some less-than-bright smugglers have tried to use them
to transport illegal goods, but unfortunately for them, the trail they leave behind
is strong evidence of their activities.
"
Mystic Warhog,"Warhogs are meek creatures who avoid humans, orcs, and other intelligent
beings at all costs.

The Mystic Warhog's supernatural powers are well known to the inhabitants of
Rodia, and it is said a Nature Mage granted these powers to them in ancient
times. When one of these Warhogs senses the presence of a being who
wishes it harm, it rears up and screams wildly.
"
Mystical Familiar,"Created to assist Magi in their tasks, it wasn't long before they realized they
had no real reason to devote their lives to serving their masters, and they
rebelled, taking advantage of chaos during the Unification War. This is why
they have little love for Magi.

The Mystical Familiar has an innate preference for quiet forests and creates its
home inside thick tree trunks.
"
Mystical Giant,"Adter creating the Apocalypses, Vulcanar appeared before Torun and showed
him one, stating that no Giant could destroy as many Watchers as his ""little
girl"". That infuriated the God of Anger, who was already furious to begin with,
so he challenged Vulcanar to a duel between his final Giant and whatever
""PIECE OF !@#$"" the Elemental King wanted. This is how the Mystical Giant
was born, a 35-foot Giant with skin as hard as steel and the strength of a
seventeen-ton killing machine.
"
Mythicant Calti,"Accidents in magic towers during the numerous experiments that have taken
place throughout history were not exactly rare. And although nowadays they do
not occur so often in magic universities, the origin of the Mythicants is one of
these exceptions.

The Mythicant Calti spends most of the day sleeping, though it also likes to
chase mice or play with other cats. It often uses the three orbs that orbit around
it to play with its friends.
"
Mythicant Erdhe,"In order to create books that could convey their content through an artifical
voice, an experiment was recently carried out that imbued a series of novels
with a huge magical charge.

The Mythicant Erdhe's luminescent symbols are clearly visible at night. When it
enters combat, they glow so brightly that staring at them is unpleasant.
"
Mythicant Palmira,"Mythicants were born in Andolin due to an unfortunate ritual, as well as the
magic contained in several novels based on the struggles of an Andolian
soldier during the Unification War.

The sword of the Mythicant Palmira turns to ash as soon as it stops holding the
handle. When this happens, it can create a new one by simply touching
another pile of ash.
"
Mythicant Populi,"The Mythicants took shapes related to the three novels based on the diaries an
Andolian soldier wrote during the Unification War. Anyone in possession of one
of its pages can control a Mythicant.

The Mythicant Populi uses its book and blade to protect itself from enemy
attacks. Unlike other Mythicants, it materializes words outside of battle that
float above its head and describe what it is doing at all times.
"
Mythicant Pryderis,"Mythicants are not aggressive unless they are in danger or unless they have
been given orders. They are able to materialize words with negative
connotations and use them to harm their enemies.

In the case of Mythicant Pryderis, it is their arrows that become words once
they are fired from the bow. There are only six arrows in their quivers, but as
soon as one of them hits, it disappears and re-materializes behind it in its
original form.
"
Mythicant Solis,"Mythicants do not do much besides training, sleeping, or chasing mice, though
they always defend the victim when they witness an assault.

The mace of the Mythicant Solis does not always have the same shape. When
it attacks an enemy and hits them with its weapon, the round part of it
transforms into words that cause damage. As soon as this creature pulls back
the hilt, the mace instantly returns to its former appearance.
"
Nadin Rift Dancer,"There are no written records of Rift Dancers until the time of the first wars in
which magic played an important role.

Nadin Rift Dancers detest the darkness, so they gather near the lights of city
walls or village squares during the night. As they do not pose a threat to most
people, even children are allowed to play with them, and they are considered to
be a fascinating sight. Some people even allow them into their homes and let
them spend the night by candlelight.
"
Nalas,"Fae always travel in groups, except if they are with a Brave. Their coordination
is perfect and they can separate to make surprise attacks using bait, or attack
from two different flanks to confuse their enemies, not letting them react to the
attack properly. Nalas, Shallan's right hand, is in charge of settling conflicts
among the Fae when they cannot solve them on their own.
"
Narklin Ophan,"Although the Ophans' ability to communicate is very limited, they are
self-aware and have prodigious intelligence.

Narklin Ophans cannot stand to watch others suffer, so they used to be a

common sight near hospitals, where they lent their help for free to heal wounds
and cure diseases. However, humans began to hunt them to take advantage of
their powers and even make a profit, which ended up creating distrust in them.
"
Nature Shapeshifter,"Not all Shapeshifters develop their potential. Some dedicate themselves to
routine tasks, and only develop their power enough to protect themselves from
the inclemencies of the weather.

From a very young age, Nature Shapeshifters prefer to transform into trees and
plants to feel in harmony with nature. When they reach a certain skill with their
powers, they fly over the forests, meadows and swamps of Radia in the form of
a bird or an insect.
"
Nax Rift Dancer,"Crowds of these creatures can be seen in the spring and summer, when the
forests are lush. At the top of the trees, Nax Rift Dancers perform a frantic
dance that seems to unleash a storm of leaves. Nearby animals often observe
their movements carefully, without showing any fear beyond the initial surprise,
probably due to the sudden noise.
"
Necro Grimoire,"Grimoires can be used by humans and other creatures who can use magic to
cast the spells they contain.

There was once a Mage in the Columbia Tower who secretly compiled a series
of dangerous curses in one of the Grimoires. That must have attracted the
attention of Apollinaire and awoken it from its slumber, as it ripped half of the
Necro Grimoire's pages before leaving the tower.
"
Necropolis,"In his journey to conquer Rodia, Egas the Necromancer created this creature to
instill fear in his enemies and poison them. He had some problems at first, as
the Necropolis insisted that the Necromancer stay within it, but he later realized
that its behavior could be quite useful and decided to use it to his advantage by
setting several of them free in the lands of his enemies.
"
Necrotic Clutcher,"Taylor seemed to have no emotions, and his tastes were getting worse with
age. His parents, who feared him, decided not to scold him, instead
abandoning him when he was a teenager and fleeing the city.

The Necratic Clutcher tears the garments of its victims with its fingernails, then
grabs their bare wrists or ankles. The tissue that comes in contact with this
creature progressively withers until it becomes a piece of dead flesh.
"
Nephilim Cleric,"When Arcadia became the Path of the Damned, the Angels who had survived
the epic battle transformed into the Nephilim.

Of all the Nephilim, the Cleric is probably the mast dangerous. A low murmur
heralds its presence, similar to that of the wind caressing the ruins of a
desolate city. Anyone who listens to it long enough will become an agent of evil
until this creature is destroyed. The more light there is in that person's heart,
the longer it will take to be converted, and the crueler their acts will be.
"
Nephilim Lord,"Erebyss hid the Nephilim in the deepest recesses of the Path of the Damned
for thousands of years, to prevent them from unleashing chaos among mortals.
All Nephilim are dangerous, but the Lord seems to go even further. It does not
usually target ordinary people, not even those who devote their lives to helping
others. The Nephilim Lord prefers its victims to be powerful, influential people.
A single wound from its sword will turn them into complete lunatics who will, for
example, subtly unleash a plan to plunge their own nations into misery.
"
Nephilim Scion,"Nephilim are drawn to good intentions and pure hearts. They seek to subdue
them and turn them to ashes. The Nephilim Scion's powers allow it to confuse
the thoughts of anyone within reach, sowing doubt about the intentions of
others towards them. Recently, one of these creatures appeared in the village
of Hutika and quietly passed through as its inhabitants went about their work.
That night, the village had turned into smoking rubble, and every Uralos in it
had become a soot-covered corpse.
"
Nephilim Shieldbearer,"All sentient creatures find the Nephilim's very presence disturbing. Even a
sadistic, unscrupulous ruler or the cruelest of criminals are terrified when one of
these creatures approaches.

When a Nephilim Shieldbreaker chooses a target, it does not attack directly,
instead seeking out those who matter most to its victim and turning them
against each other with a single touch of its shield. In this way, its victim will
have to witness in horror as their loved ones try to hurt each other in every
possible way.
"
Nephilim Skirmisher,"It is believed that the Nephilim were released from their prison after recent
events in Rodia, but their numbers were not a cause for concern for the
governments of the different kingdoms, until now.

Unlike other Nephilim, the Skirmisher acts ruthlessly. This creature is a
bloodthirsty assassin who searches for purehearted people for the sole purpose
of bathing its weapon in blood. It prioritizes those with the purest convictions,
but it also attacks even the worst scum, as even they have done good at some
point in their lives.
"
Nephilim Sorcerer,"The Nephilim are feared everywhere in the world, and getting rid of them has
become a top priority in many places.

The Nephilim Sorcerer can absorb the feelings of those who want to care for
others, turning its victim into an apathetic, motionless puppet. However, this
creature always returns what it took, after twisting those motivations to turn its
victim against the person they wanted to help.
"
Neralim Seraph,"However, conflicts among the different human kingdoms scon arose. Surathli,
full of sadness, watched as the new world filled with decadence, but she did not
lose hope.

The Neralim Seraph is quiet and wise. It likes to spend time in silent, dark
rooms by candlelight, in the company of books. It is able to channel the wrath
of its enemies into its own blade and use it as a catalyst to cast a barrage of
spells.
"
Nex Seraph,"And the kingdoms that opposed peace fell into oblivion, their kings condemned
to relive their mistakes for eternity in the Kingdom of Heretics, their cities
wastelands and ruins, their Seraphs, extinct.

Nex Seraph is the most powerful of its species, and, at present, it represents
the last hope for Rodia. It was the first of them all and stayed with Surathli in
the Azure Dream until its presence was required in the country. Its mission is to
avoid a new slaughter, but perhaps it is too late.
"
Nexus Amaranth,"No other creature is as mysterious as the Amaranth. At first, they wandered the
world. They were peaceful observers that floated from place to place, moved
by curiosity. As time went by, they approached other creatures and shared their
secrets.

During the Unification War, a large number of Nexus Amaranths moved from
all over the world to watch the bloody battles. Sigmund took advantage of the
peculiarity of these creatures to warn King Misery that he was going to be
besieged.
"
Nguruvilu,"Lake Kalazan makes up a large part of the kingdom of Andolin. There begins
the life cycle of the creatures called Nguruvilu. When they reach maturity, most
of them descend the Sevinor River and travel to other regions. They hide under
the water, motionless, waiting for prey to pass over them — unless they detect
magic. The presence of a Mage or a magical beast pushes them to the
surface, as their scent is irresistible to them.
"
Night Koloss,"In the middle of battle, Kolosses can add extra tissue to their puppets to make
them harder to take down. It is currently believed that this ability could have
medical uses.

Night Kolosses, named so by a human adventurer, are good leaders, but they
stand out most of all for their ability to understand the emotions of their peers.
Most of them use this advantage to improve their quality of life, but some
others, more ambitious and devious, prefer to manipulate them in order to gain
power.
"
Nightmare Golem,"With its incredible amount of magical power, the Nightmare Golem can put its
opponents to sleep with ease. A Mage named Magendie once used this
creature's power to combat his insomnia, and he even offered the service to his
fellow citizens.
"
Nightmare Mummy,"The only ones who had the privilege of being mummified were usually the
sovereigns of Kaito, once they exhaled their last breath. However, there was a
punishment reserved for a few in a which a traitor was condemned to be
mummified in life, along with many other hardships.

The Nightmare Mummies dealt with the priests and priestesses of Kaito. When
their spells hit the dark bandages, a strange purple halo appeared that
absorbed the magic, leaving them powerless to face the creatures.
"
Nightveil Construct,"The Constructs helped the army of Nex to protect civilians in the streets of the
capital and to guard its walls. When the war was about to end, they became
available for general purchase in the kingdom.

The Nightveil Construct is equipped with a speech synthesizer that activates in
certain conditions. Moreover, it can store voice messages in its memory, which
makes it a particularly useful nighttime messenger, due also to its ability to go
unnoticed in the dark.
"
Nightveil Spectre,"Sigmund spent mast of his life in Eternity's End, observing and studying the
flow of time. Faced with the coming chaos, Vertraag helped him to protect
Radia, or so the God of Time made him believe.

When newborns are orphaned, their primal sadness makes this creature
appear. It takes care of the baby, but never lets them age, instead channeling
that temporal energy to wear down its enemies’ health.
"
Nightvelvet Gemling,"It was Dragan, a Raven from the Refuge of the Magi, who had the idea of
activating an ancient and hidden magic item in his hometown: The Rod of Ruin.
Its name, he said, was a reminder of the price his people paid due to the the
atrocities committed by humans.

Nightvelvet Gemlings cannot remain still. In fact, if their movements are
contained, they quickly turn bright red and explode into a thousand pieces,
unless they are released in a few seconds.
"
Nightwing Gargoyle,"The forces of Undolim ambushed the invaders from the rooftops of the
Cathedral square, using arrows and spells. When the enemy fled in disarray to
regroup, the Gargoyles descended like rain with their claws and fangs of stone.

The Nightwing Gargoyle uses the influence of the moon to absorb the magic of
its surroundings. During a new moon phase, this creature perches on the ledge
of a colorful building and remains motionless, waiting for it to end.
"
Nihilist Ender,"Nihilists appeared all over the world very recently. Most of them roam in small
groups, though they sometimes gather in large numbers.

While any Nihilist can take down a Voidlord, none do it as well as the Nihilist
Ender. In addition to sensing the presence of any Voidlords within a mile of it,
its weapon deals incredible damage to these creatures, disintegrating them the
moment they pierce their bodies.
"
Nihilist Paralyzer,"Nihilists will never attack unless they are in danger, unless their opponent is a
Voidlord. They do not communicate in any way with other creatures, and they
do not need to breathe, feed, or sleep to survive.

The ribbons on this creature's staff are harmless to all except Voidlords. When
they come into contact with these beings, they automatically coil around their
bodies, paralyzing their movements and nullifying their abilities.
"
Nihilist Protector,"The existence of the Nihilists is believed to be linked to that of the Voidlords. In
fact, there are those who think these creatures exist only to end them.

When a Nihilist Protector places its hand on its book and chants, all creatures
within a mile of it are shielded from the Voidlords' powers for thirty-six days.
"
Nihilist Sealer,"The Voidlords' ability to wipe any creature out of existence does not work at all
on the Nihilists.

The mere presence of a Nihilist Sealer nullifies the Voidlords' power to make
any creature vanish within a mile of this creature.
"
Nihilist Seeker,"The moment the Nihilists materialized in this universe, someone smiled in true
satisfaction at the End of Eternity.

When the Nihilist Seeker performs a dance with its staff, it can locate where
any creature has vanished due to the powers of a Voidlord within a mile of it,
regardless of when it occurred.
"
Nihilist Summoner,"Only a few are aware that the Nihilists are the materialization of the very will of
the universe fighting to survive. Many intelligent creatures find their appearance
disturbing, yet animals are completely unaware of their presence.

The Nihilist Summoner's power is probably the most extraordinary. When a
Nihilist Seeker points out where someone has disappeared at the hands of a
Voidlord, this creature places its hand on its book and begins to chant. Ina
matter of minutes, every creature within a mile that had been erased from
existence will reappear as if nothing had happened.
"
Nine Tailed Harvester,"Nine Tailed Harvesters inhabit the Hamubo Rocky Mountains, to the southeast
of Yarthe. Since the dawn of their civilization they have worshipped death, and
to them Harvesters are sacred creatures who should not be disturbed under
any circumstances. Their lives revolve around their customs and rites, centered
on meditation, and they do not seek war with other peoples. However, they also
need to defend themselves. All Nine Tailed Harvesters receive combat training
from a young age, and all of them use a scythe in battle.
"
Nisha Cherub,"Of the other creatures of Rodia, reactions to Cherubs tend to vary. Of particular
note, Spectres seem to be utterly terrified of Cherubs and will flee at the mere
sight of one, panicking and lashing out if cornered. Demigods on the other hand
are zealously protective of them, for reasons they refuse to elaborate upon.
The reasoning seems to be religious in nature, but none can say for sure.

Nisha Cherubs seem to be one with the void — they perpetually exist within a
dark vaccuum that surrounds them, in which no form of matter of energy at all
can be found. Those who gaze into this void report impossible and bewildering
sights they often can find no way to explain or put into words, but the more
magically attuned simply see true nothingness as if it were a hole in reality.
"
Nix Backstabber,"There was once a Nix who envied mankind. Their civilization prospered, while
Nixes still lived in small settlements that did not. This rage led her to Gonfurian,
and she asked him to eliminate the humans. The God of War laughed out loud,
but he offered her a solution in exchange for passing a trial. The Nix accepted
and had her own village fight a human town. They lost. Then, Gonfurian
appeared before her and gave his favor to a mortal for the first time in history...
plus another ""small"" gift.
"
Nix Creeper,"The Nixes are an intelligent species that lives in underground cities. At present,
they are not at war with any other.

Some Nixes are known to leave no trace after a murder. In the surface lands
they are called Nix Creepers. They can sneak into well-protected mansions,
bypassing any security in the gardens and corridors without being discovered.
The next morning, everything will remain intact except for their target, which will
have become a corpse.
"
Nix Exile,"Some Nixes are banished from their towns and cities for serious crimes. Many
look for underground caves to settle alone or with others of their kind who have
also been exiled. Others seek their fortune by working for the less important or
newer crime syndicates. Their methods are usually less orthodox than those of
the other Nixes, and their goals are much more varied. When they carry out a
mission, their success rate is clearly lower and they often make a mess.
"
Nix Guardian,"In Nix societies, females occupy higher places in the hierarchy. They hold the
moral authority and leadership, and always govern through a council of eight
women.

The Nix Guardian usually works as a personal bodyguard for great merchants
or crime bosses, and also does the dirty work when it is necessary. When two
Nixes meet because of this, they fight to the death on an equal focting, with
their faces uncovered.
"
Nix Imposter,"In the past, Nixes had a certain animosity toward the humans, and a great
antagonism toward the Elves. After several centuries of war, they signed a
peace treaty when Lister sent his Priests around the world.

Out of all the surface Nixes, only Impasters still work for their people. Their
okjective is to find any men of their species who have escaped the
underground cities to bring them back and have them suffer their deserved
punishment: an unspeakable torture that lasts for a week.
"
Nix Informer,"Only female Nixes are allowed to visit the surface and be in contact with other
intelligent species. Indeed, any male Nixes who wish to trade with the humans
and dwarves who visit their cities must be accompanied by a woman at all
times.

Although Nix Informers usually work for large corporations, they sometimes act
as government spies who, if necessary, eliminate key figures that could
jeopardize their interests.
"
Nix Scoundrel,"Some Nixes are integrated into human society. Many work as hired killers due
to their renowned agility, stealth, and skill with knives.

When someone hires the services of a Nix Scoundrel, it is very clear that the
target is going to suffer before dying. These creatures are bloodthirsty
murderers who are experts in torture, and experts in leaving gruesome crime
scenes. They usually also murder the target's family in front of their eyes.
"
Nix Shadowjumper,"Nixes who work as hired killers wear a mask to prevent anyone from
recognizing them, but also to indicate their specialty. In their daily life, surface
Nixes are treated with a certain forced respect for fear of their abilities.

Nix Shadowjumpers are especially dangerous, and their services are the most
expensive ones to hire. Through their knowledge of magic, they can use the
Path of the Damned to appear behind their target, as long as they have one of
their personal items.
"
Nox Sinon,"In the forests of Yarthe lives an intelligent species, fully integrated into its
ecosystem. Even as children, they interact with all the creatures who live there,
establishing bonds through play, and caring for them when needed. When they
reach adulthood, they are able to summon them wherever they go, and they
will fight with them regardless of the danger involved in doing so.
"
Noxious Smog,"Centuries ago, a team of chemists and Magi hastily developed dangerous
technology. The result was an unstable machine and the biggest explosion in
history.

Being close to the Noxious Smag is too dangerous for any creature, due to the
toxic vapor that surrounds it. In addition, finding a natural antidote for its venom
is too difficult, as its composition is different for each specimen.
"
Noxpit,"This creature was the first one Venedon gave life to in the Caustic Reactor. As
soon as he saw it, the God of Deceit shrugged and thought ""Well, | did my
Although its appearance was not what he expected, it performs its
function perfectly, devouring nuclear waste to completely eliminate it without
suffering any damage in the process. Currently, several of these creatures tour
the Caustic Reactor with the sole purpose of removing the nuclear radiation this
realm produces.

"
Nugget,"This creature has often been attributed miraculous properties, for many
reasons. Around this creature, trees bloom, crops manage to grow despite the
droughts, and grass sprouts where it should not. Finding one is an
extraordinary feat, and keeping one close is extremely difficult, as it can easily
escape by becoming imperceptible to the senses of living beings.
"
