name,description,material_name
Alteration,Your creatures' spells deal 50% of their damage using Speed instead of Intelligence. This trait does not stack.,Lord Claw
Psychic Barrier,"At the start of this creature's turn, it gains Defense equal to 50% of its Intelligence.",Ritualist Claw
Farsight,"After your creatures gain a buff, they Cast a random spell. This trait can only activate once per turn. This trait does not stack.",Seer Claw
Master of Ravens,Your Ravens have 15% more Intelligence and Speed for each Raven fighting on your side. This trait does not stack.,Sigil of the Raven
Decapitation,"After this creature Attacks a creature with less than 35% Health, it is killed, and your creatures recover 200% Health.",Blood Scythe
Bonecraft,"After this creature Attacks an ally with less than 35% Health, it is killed, then this creature grants 50% of its Attack, Intelligence, and Defense to all your other creatures.",Bone Scythe
Soul Corruption,"After this creature Attacks a creature with less than 35% Health, it is killed, then this creature afflicts enemies with a random debuff for each buff the target had before it died.",Cursed Scythe
Defy the Gods,"After this creature Attacks an ally with less than 50% Health, it is killed, then this creature resurrects it with 100% Health and 50% more Attack, Intelligence, and Speed.",Incursion Scythe
Assumption,"After this creature Attacks a creature with less than 35% Health, it is killed, then this creature Casts its first 3 spells.",Plague Scythe
Shadow Scythe,"After this creature Attacks an enemy with less than 35% Health, it is killed, then this creature deals damage to adjacent enemies equal to 200% of the damage dealt by the Attack.",Shadow Scythe
Soul Siphon,"After this creature Attacks a creature with less than 35% Health, it is killed, then this creature gives a copy of its trait to all your creatures.",Soul Scythe
Heart Versus Cog,"After your creatures' Barrier buffs are damaged and destroyed, they gain 50% of the original strength of the Barrier as Maximum Health. This trait does not stack.",Tech Scythe
Master of Reapers,Your Reapers' traits now activate at 50% Health.,Sigil of the Reaper
Fireworks,"After this creature manually Casts a spell, it deals damage to enemies equal to 40% of its Speed.",Ascendant Lantern
Pain Redefined,"After this creature Defends, it takes damage equal to 20% of its Maximum Health and grants 1 random buff to all your creatures.",Cabalist Fin
Reign of Pain,This creature deals 5% more damage for every 1% Health it is missing.,Captain Fin
Lunacy,"Enemies take 40% more damage, but are immune to debuffs. This trait does not stack.",Dagon Fin
Delirium,"After this creature takes damage, it gains Intelligence equal to 40% of the damage it took.",Horror Fin
Pact of the Deep,"At the start of battle, this creature steals 35% of your other creatures' Health.",King Fin
Internal Struggle,"After this creature Casts a spell, it loses 25% Current Health, adds this amount of Health to its damage, and Casts the spell 1 additional time.",Sealord Fin
Blood For Blood,"When this creature Attacks, it loses 20% Current Health and adds 200% of this amount to the damage dealt.",Soldier Fin
Gift of Scylla,"After your creatures die, they grant 25% of their Attack and Speed to all your creatures. This trait does not stack.",Scylla's Plume
Master of Revenants,"If all the creatures in your party are Revenants, they recover 50% Health at the end of their turns. This trait does not stack.",Sigil of the Revenant
Psychic Dance,All effects that activate when a creature dodges will activate 1 additional time. This trait does not stack.,Aen Silk
Moon Dance,All effects that activate when a creature Provokes will activate 1 additional time. This trait does not stack.,Aerum Silk
Renaissance,All effects that activate when a creature resurrects will activate 1 additional time. This trait does not stack.,Apollinaire Silk
Fan Dance,All effects that activate when a creature Defends will activate 1 additional time. This trait does not stack.,Inaer Silk
Dark Dance,All effects that activate when a creature dies will activate 1 additional time. This trait does not stack.,Nadin Silk
What Is Left,This creature deals additional damage with attacks and spells equal to 1% of the stats it has gained in the current battle.,Nax Silk
Sword Dance,All effects that activate when a creature deals critical damage will activate 1 additional time. This trait does not stack.,Ramun Silk
Master of Rift Dancers,"If all the creatures in your party belong to the Rift Dancer race, their innate traits activate 1 additional time. This trait does not stack.",Sigil of the Rift Dancer
Hotspur,"At the start of battle, your creatures each have a 50% chance to Cast one of their spells at random. This trait does not stack.",Chaos Oil
Memorial,"After your creatures are resurrected, they Cast one of their spells at random. This trait does not stack.",Earth Oil
Until the End,"Before your other creatures die, they Cast one of their spells at random. This trait does not stack.",Fire Oil
Naivety,"When your creatures take damage that exceeds 15% of their Maximum Health, they Cast one of their spells at random. This trait can only activate once per turn for each creature. This trait does not stack.",Ice Oil
Limitless,"When your creatures Cast a spell, they have a 50% chance to Cast it 1 additional time. This trait does not stack.",Thunder Oil
Wallflower,"After your creatures Defend or Provoke, they Cast one of their spells at random. This trait does not stack.",Water Oil
Simulation,"When your creatures Cast a spell due to a Salamander trait, they Cast another one of their spells at random. This trait does not stack.",Wind Oil
Master of Salamanders,"If all the creatures in your party are Salamanders, their spells are 60% more potent. This trait does not stack.",Sigil of the Salamander
Charity,"After this creature is healed, it heals one of your other creatures for 300% of this amount. This trait does not heal creatures that also have this trait.",Book of Charity
Chastity,"While this creature has more than 90% Health, it is Invisible.",Book of Chastity
Kindness,"At the start of this creature's turn, your other creatures gain Attack, Intelligence, Defense, and Speed equal to 5% of this creature's respective stats.",Book of Kindness
Humility,"After this creature is Attacked, it reduces the enemy's Attack by 50%.",Book of Humility
Diligence,Your creatures' debuffs last for 1 turn.,Book of Diligence
Conservation of Energy,"After one of your creatures are killed, another one of your creatures has a 50% chance to be resurrected with 50% Health. This trait does not stack.",Book of Imposition
Patience,Enemies take 50% more indirect damage for each turn they've taken in the current battle. This trait does not stack.,Book of Patience
Temperance,"At the start of battle, your creatures' stats are set equal to the average of all their stats, excluding Health.",Book of Temperance
Master of Sanctuses,"If you have 6 different Sanctuses in your party, they gain a random Sin trait at the start of battle. This trait does not stack.",Sigil of the Sanctus
Rough Recovery,Enemies can only heal each other 1 time per turn.,Dominator Hoof
Languid Limbs,Enemies can only Attack once at a time.,Exiled Hoof
Scant Stamina,Enemies can only resurrect 1 time per battle.,Guardian Hoof
Meaningless Mind,Enemies can only gain each stat 1 time per turn.,Rammer Hoof
Somber Spirits,Enemies can only Cast spells once at a time.,Spry Hoof
Faulty Fortune,Enemies can only gain 1 buff per turn.,Squire Hoof
Master of Satyrs,"If all the creatures in your party are Satyrs, enemies start battles with 20% less sats. This trait does not stack.",Sigil of the Satyr
The Sickness,"After an enemy is healed, it is afflicted with Blighted.",Amorphous Hook
Appetite For Eschar,"After your creatures deal damage as a result of Blighted, they recover health equal to 100% of the damage dealt. This trait does not stack.",Innocent Hook
Vicar's Blessing,"After an enemy takes damage from Blight, this creature has a 35% chance to cast Minor Healing on it. This trait does not stack.",Juggernaut Hook
Aggravated Illness,Enemies take 50% more damage from Blighted. This trait does not stack.,Lugubrious Hook
Chronic Affliction,"After an enemy takes damage from Blighted, it has a 50% chance to take the same amount of damage again. This trait does not stack.",Recruiter Hook
Retrograde,Enemies with Blighted receive 50% more healing from all sources. This trait does not stack.,Benefactor Hook
Master of Sea Shamblers,"If all the creatures in your party are Sea Shamblers, they take 12% less damage for each enemy that is afflicted with Blighted. This trait does not stack.",Sigil of the Sea Shambler
Break the Cycle,"If this creature has Provoked at least one time this battle, a random enemy is sent to the bottom of the Timeline each time it Provokes after that.",Andolin Symbol
Break of Dawn,Enemies take 20% more damage for each turn they've taken in the current battle. This trait does not stack.,Kaito Banner
Chasing Infinity,"If this creature has Provoked at least one time this battle, its spells no longer consume Charges and have 50% more potency.",Neralim Symbol
Defy the Odds,"If this creature has Attacked at least once this battle, it takes 65% less damage.",Nex Symbol
Haven,"If this creature has Defended at least one time this battle, your creatures have 50% more Defense. This trait does not stack.",Siralim Symbol
Ever Upwards,"If this creature has Defended at least one time this battle, it resurrects allies with 50% Health each time it Defends after that.",Undolim Symbol
Almost Easy,"If this creature has Attacked at least one time this battle, its attacks deal 200% more damage.",Vanelin Symbol
Master of Seraphs,Your Seraphs share their innate traits with each other.,Sigil of the Seraph
Shadow Aegis,Your creatures take 95% less damage while they are Invisible. This trait does not stack.,Drifting Incense
Phase Shift,"After this creature is damaged by an attack or spell, it gains Invisible.",Dungeon Incense
From Light Comes Darkness,"After your creatures are damaged by an enemy, they have a 50% chance to gain Invisible. This trait does not stack.",Evernight Incense
Spook,"At the start of battle, this creature gains Invisible. This creature deals 200% more damage while it is Invisible. This creature's Invisible buff is no longer removed at the start of its turn.",Gateway Incense
Dark Signs,Your creatures deal 100% more damage while they are Invisible. This trait does not stack.,Hoar Incense
Spooky Technique,"After your creatures Attack or Cast a spell that removes their Invisible buff, they deal damage to all enemies equal to 35% of their Defense. This trait does not stack.",Spooky Pumpkin
Impossibility,Your creatures with Invisible are immune to damage from spells.,Wandering Incense
Pariah,"After a creature is killed, your creatures gain Invisible.",Whispering Incense
Master of Shades,"If all the creatures in your party are Shades, they gain Invisible at the end of their turns and have a 100% chance to dodge while they have this buff.",Sigil of the Shade
All Hope Is Lost,Enemies with Feared cannot gain buffs.,Cobra Black Hole
Haunt,This creature's attacks deal 75% more damage and afflict the target with Feared.,Demonic Black Hole
Taste of Fear,"After enemies with Feared are prevented from gaining stats, this creature gains those stats instead. This trait does not stack.",Juggernaut Black Hole
Cowardice,Enemies with Feared deal 60% less damage with attacks.,Moth Black Hole
Unspeakable Frights,"At the start of an enemy's turn with Feared, they have a 20% chance to be sent to the bottom of the Timeline. This trait does not stack.",Wolf Black Hole
Horrifying Visage,"At the start of battle, this creature afflicts 3 random enemies with Feared. This trait does not stack.",Zealot Black Hole
Breach,"After this creature is killed or resurrected, it afflicts enemies with Bomb.",Shadow Skull
Childhood's End,"The potency of the enemies' Bomb debuffs are shared with each other, but enemies take 50% less damage from this debuff. This trait does not stack.",Shadow Heart
Father Shadow,"After this creature damage an enemy with an attack or spell, it deals damage to a random enemy equal to 20% of the damage dealt.",Shadow Essence
Master of Shadows,"If all the creatures in your party are Shadows, enemies with Fear deal 50% less damage and take 50% more damage.",Sigil of the Shadow
Chaos Transformation,"When your creatures buff an enemy, they debuff them instead. When your creatures debuff an ally, they buff them instead. This trait does not stack.",Chaos Plasma
Death Transformation,"When your creatures increase an enemy's stats, they are instead decreased by 50% of the amount. This trait does not stack.",Death Plasma
Life Transformation,"When your creatures heal an enemy, it instead takes damage equal to 50% of the amount it would have been healed. This trait does not stack.",Life Plasma
Transformation Mastery,Your Shapeshifters' innate traits are 50% more powerful. This trait does not stack.,Master Plasma
Nature Transformation,"When your creatures deal damage to each other, they are instead healed for 50% of the amount of damage they would have received. This trait does not stack.",Nature Plasma
Rapid Learning,Your Shapeshifters start battles with 1 additional trait. This trait does not stack.,Apprentice Plasma
Sorcery Transformation,Your creatures' spells heal instead of dealing damage.,Sorcery Plasma
Diamond Hands,This creature takes 4% less damage and deals 20% more damage for each trait it has gained in the current battle.,Unstable Plasma
Master of Shapeshifters,"Your Shapeshifters deal 20% more damage, take 5% less damage, and can equip 1 additional Spell Gem for each Shapeshifter fighting on your side.
This trait does not stack.",Sigil of the Shapeshifter
Sloth,Enemies start battles with 30% less Attack and Intelligence. This trait does not stack.,Book of Sloth
Greed,"At the start of battle, this creature steals 15% of your other creatures' Attack, Intelligence, Defense, and Speed.",Book of Greed
Despair,"After an enemy loses stats, this creature afflicts it with a random debuff.",Book of Pain
Gluttony,"At the start of battle, 50% of this creature's Attack, Intelligence, and Speed are converted into Health.",Book of Gluttony
Envy,"At the start of battle, set this creature's Attack, Intelligence, Defense, Speed, and Health, to the highest of your other creatures' respective base stats.",Book of Envy
Wrath,"This creature always has Berserk and Savage, and deals 30% more damage.",Book of Wrath
Lust,"At the start of battle, this creature gains copies of up to 3 of the enemies' non-Ethereal Spell Gems. This trait ignores other creatures with the Lust trait.",Book of Lust
Pride,"This creature always has Repelling, and takes 30% less damage.",Book of Pride
Master of Sins,"If you have 6 different Sins in your party, they gain a random Sanctus trait at the start of battle. This trait does not stack.",Sigil of the Sin
Coerced Coexistence,"After an enemy Attacks, this creature afflicts it with Scorned. After an enemy Casts, this creature afflicts it with Silenced.",Ascendant Bell
Siren Charms,"At the start of battle, this creature afflicts 3 random enemies with Confused. This trait does not stack.",Beguiler Bell
Forbidden Lullaby,"After this creature is Attacked, the enemy is afflicted with Sleeping.",Coercer Bell
Beautiful Sorrow,"After one of your creatures dies, this creature gains their innate trait.",Reaper Bell
In Plain View,"At the start of battle, this creature afflicts each enemy with Scorned or Silenced for 1 turn, depending on whether their Attack or Intelligence is higher.",Oracle Bell
Dream Touch,"After this creature Attacks, it afflicts the target with Sleeping. In addition, your creatures' attacks never wake up enemies that have Sleeping.",Purifier Bell
Filtered Truth,Enemies always have equal Attack and Intelligence, whichever is lower., whichever is lower.
Katarina's Asylum,"When your creatures take damage, they take 35% more damage but gain Invisible.",Katarina's Visage
Katarina's Guidance,"At the start of battle, your creature that is highest on the Timeline gains 5 random buffs. This trait does not stack.",Katarina's Essence
Katarina's Return,"After your creatures take damage, they recover 30% Health. This trait does not stack.",Katarina's Brace
Master of Sirens,"If all the creatures in your party belong to the Siren race, enemies can have Scorned and Silenced at the same time.",Sigil of the Siren
All In,This creature's first attack each battle deals 300% more damage.,Buccaneer Bone
Cannon Shot,"After this creature Attacks, it afflicts the target and two other enemies with Vulnerable.",Cannoneer Bone
Quick Shot,"After this creature Attacks, it has a 50% chance to attack the same target again.",Gunslinger Bone
Aimed Shot,This creature's attacks deal 200% more damage to targets that are at 100% Health.,Marksman Bone
Scatter Shot,"After this creature Attacks, it deals 30% of the damage dealt to all other enemies.",Mortarman Bone
Head Shot,"When this creature Attacks, it has a 50% chance to deal 200% more damage.",Sniper Bone
Vital Shot,This creature's attacks deal 5% more damage for every 1% of Health the target is missing.,Triggerman Bone
Master of Skeletons,"If all the creatures in your party are Skeletons, they Attack 1 additional time and have a 100% chance to deal critical damage. This trait does not stack.",Sigil of the Skeleton
Secret Recipe ,"After this creature is resurrected, your other creatures are resurrected as well.",Bile Ooze
Dispersion,"After this creature is healed, your other creatures that don't have this trait are healed for 50% of the amount as well.",Blood Ooze
False Prophecy,"This creature always has Cursed. When this creature would take damage from Cursed, the damage is dealt to the enemy instead.",Cursed Ooze
Concoction,"After this creature gains a buff, your other creatures that don't have this trait gain a copy of this buff as well.",Ectoplasmic Ooze
Abomination,"After this creature gains stats, your other creatures that don't have this trait gain 25% of those stats as well.",Glutinous Ooze
Parasitic Illusion,"This creature always has Poisoned. After this creature takes damage from Poisoned, 50% of the damage is dealt to all enemies.",Infested Ooze
Diffusion,"After this creature gains a minion, your other creatures that don't have this trait gain that minion as well.",Mercurial Ooze
Vanity,"After this creature gains Spell Gems, your other creatures that don't have this trait gain those Spell Gems as well.",Paranormal Ooze
Flubris' Engulfing,"When an enemy takes damage from Burning, it loses 20% Attack and Defense. This trait does not stack.",Flubris' Ichor
Flubris' Entrapment,"When an enemy takes damage from Poisoned or Burning, they have a 50% chance to be afflicted with a random debuff. This trait does not stack.",Flubris' Third Arm
Flubris' Toxicity,"When an enemy takes damage from Poisoned, it loses 20% Intelligence and Speed. This trait does not stack.",Flubris' Eyeballs
Master of Slimes,"If all the creatures in your party are Slimes, they are resistant to debuffs and deal 30% more damage.",Sigil of the Slime
Unbreakable,Your creatures' '[Class] Strength' Artifact properties prevent 50% more damage from that class. This trait does not stack.,Black Crystal Axe
Dissection,"When your creatures Attack, they deal additional damage equal to 50% of the total Attack bonus on this creature's artifact. This trait does not stack.",Brim Axe
Fool's Axiom,Your creatures have additional Defense equal to 50% of the total Defense bonus on this creature's artifact.,Crystal Axe
Battle Born,Your creatures' Spell Slots have a 10% greater chance to activate.,Dark Brim Axe
Honed Blades,"Your creatures share 15% of their Artifacts' bonuses from Attack, Intelligence, Defense, and Speed with each other. This trait does not stack.",Death Axe
Braze,Your creatures' '[Class] Strength' Artifact properties deal 50% more damage to that class. This trait does not stack.,Depravity Axe
Imbue,Your creatures' Stat Slots provide 15% more benefit. This trait does not stack.,Disease Axe
War Forged,Your creatures' 'Gain Buff On Damage' properties have a 100% greater chance to activate. This trait does not stack.,Ianne's Spare Hammer
Incursion,Your creatures' 'Afflict Debuff On Damage' properties have a 100% greater chance to activate. This trait does not stack.,Pestilence Axe
Warcraft,This creature's Stat Slots provide 40% more benefit.,War Axe
Ianne's Eccentricity,"After this creature Attacks, the target deals 100 damage to all your creatures. This damage is not mitigated by Defense.",Ianne's Third Eye
Ianne's Oddity,"When your creatures take damage that exceeds 30% of their Maximum Health, reduce this damage by 50% This trait does not stack.",Ianne's Bad Leg
Ianne's Quirk,After this creature Attacks it Casts Metamorphosis on the target.,Ianne's Chiclets
Master of Smiths,"At the start of battle, if all the creatures in your party are Smiths, they share their Artifact's trait with the creature to the left.",Sigil of the Smith
Poison Inoculation,Your creatures start battle with Poisoned. Your creatures recover Health from Poisoned instead of taking damage from it.,Cancerous Smoke
Endless Distraction,"While this creature is Provoking, your other creatures take 35% less damage. This trait does not stack.",Festival Drink
Vex,Enemies with both Burning and Poisoned take 50% more damage from these debuffs. This trait does not stack.,Incendiary Smoke
Creeping Death,"After this creature Defends or Provokes, enemies that have Poisoned take damage equal to 3 turns of this debuff.",Lethal Smoke
Transfusion,"After this creature Attacks a creature with Poisoned, it deals damage equal to the amount this debuff would have dealt for 5 turns, then this debuff is removed.",Lord Smoke
Contamination,This creature's attacks deal 75% more damage and afflict Poisoned.,Noxious Smoke
Malady,Enemies' Poisoned debuff lasts forever. This effect also applies to your own creatures while you have a creature with the Poison Inoculation trait.,Pestilent Smoke
Extermination,This creature deals 150% more damage to creatures with Poisoned. This trait does not stack.,Scourge Smoke
Tainted Blood,"After an enemy takes damage from Poisoned, all other enemies take damage equal to 35% of the damage dealt. This trait does not stack.",Toxic Smoke
Master of Smogs,"When your creatures afflict enemies with Poisoned, the potency of this debuff is increased by 50% for each Smog fighting on your side. This trait does not stack.",Sigil of the Smog
Atrophy,"After an enemy gains a stat, it has a 25% chance to be sent to the bottom of the Timeline. This trait does not stack.",Alluring Pitcher
Debacle,"After an enemy is healed, it has a 25% chance to be sent to the bottom of the Timeline. This trait does not stack.",Bat Pitcher.
Coming Down,"After an enemy gains a buff, it has a 25% chance to be sent to the bottom of the Timeline. This trait does not stack.",Cultivar Pitcher
Great Fall,"After an enemy Attacks, all other enemies each have a 10% chance to be sent to the bottom of the Timeline. This trait can only activate on the enemies' first attack per turn. This trait does not stack.",Parasitic Pitcher
Tumble Over,"After an enemy Casts a spell, all other enemies each have a 10% chance to be sent to the bottom of the Timeline. This trait can only activate on the enemies' first spell per turn. This trait does not stack.",Sticky Pitcher
Follow The Leader,"After an enemy is sent to the bottom of the Timeline, all other enemies each have a 5% chance to be sent to the bottom of the Timeline as well. This trait does not stack.",Wizened Pitcher
Master of Snaptraps,"If all the creatues in your party are Snaptraps, their innate traits have double the chance to activate. This trait does not stack.",Sigil of the Snaptrap
Of One Mind,"After your creatures that belong to your most common race Attack, the others have a 5% chance to Attack random enemies for 10% normal damage. This trait does not stack.",Sleepless Brain
Suicide Pact,"After your creatures that belong to your most common race are killed, the others are killed as well. This trait does not stack.",Dreamweaver Brain
Group Therapy,"After your creatures that belong to your most common race heal a creature, the others heal that same creature as well. This trait does not stack.",Drone Brain
Mass Resurrection,"After your creatures that belong to your most common race are resurrected, the others have a 30% chance to be resurrected with 50% Health as well. This trait does not stack.",Queen Brain
Hubbub,"After your creatures that belong to your most common race Provoke, the others Provoke. This trait does not stack.",Peacemaker Brain
Marshal,"After your creatures that belong to your most common race move to the top of the Timeline, the others have a 25% chance to attack a random enemy. This trait does not stack.",Healer Brain
Xyrxzy's Control,"After this creature Attacks, the enemy Attacks itself as well. The amount of damage is based on this creature's Attack. This trait does not stack.",Xyrxzy's Brain
Xyrxzy's Plan,"At the start of battle, your creatures gain Mind Control. This spell causes enemies to Attack 1 additional time when they're affected by this spell.",Xyrxzy Flesh
Xyrxzy's Subversion,"After this creature manually Casts a spell, it also Casts 3 random enemies' spells as well. This trait does not stack.",Xyrxzy's Nose
Master of Soulflayers,"The first time your Soulflayers are killed, they are resurrected with 10% Health.",Sigil of the Soulflayer
Recompense,"After this creature is Attacked, it deals damage to all enemies equal to 30% of the damage taken.",Courier Spark
Comeuppance,"After this creature takes damage from spells, it deals damage to all enemies equal to 30% of the damage taken.",Engineer Spark
Ravish,"After this creature takes damage, it deals damage to the enemy equal to 100% of the damage taken.",Officer Spark
Seeth,This creature deals additional damage equal to 20% of the damage it has taken in the current battle.,Professor Spark
Conviviality,This creature deals additional damage equal to 5% of the damage your creatures have taken in the current battle.,Searcher Spark
Bombshell,Your creatures deal 75% more damage when it is not their turn. This trait does not stack.,Student Spark
Master of Sparktails,"If all the creatures in your party are Sparktails, they share their innate traits with each other.",Sigil of the Sparktail
Cold Touch,"After this creature attacks, it decreases the target's highest stat by 20%.",Abyssal Embryo
Blessing From Below,"After this creature gains stats other than Maximum Health, enemies lose 25% of that amount of the same stat. This trait does not stack.",Doomsday Embryo
Creation Dirge,"After this creature is Attacked, it decreases the enemy's Attack, Defense, Intelligence, and Speed by 25%.",Dread Embryo
Cripple,"After this creature Casts a damaging spell on an enemy, the target loses Intelligence equal to 100% of the damage dealt.",Entropic Embryo
Unspeakable Sins,"After an enemy is healed, it loses 35% Attack and Intelligence. This trait does not stack.",Nightveil Embryo
Experimentation,"After an enemy gains stats, this creature has a 30% chance to Attack it.",Prophetic Embryo
Salted Earth,"After this creature Defends or Provokes, enemies lose 30% Defense and Speed.",Transient Embryo
Guilt,"At the start of each enemy's turn, this creature decreases their lowest stat by 25%.",Woeful Embryo
Master of Spectres,Your Spectres decrease enemies' stats 50% more. This trait does not stack.,Sigil of the Spectre
Desert Glory,"After your creatures die, they have a 5% chance to be resurrected with 50% Health for each creature of its own class fighting on your side. This trait does not stack.",Avenger Mane
Pharaoh's Boon,"Your creatures have 10% more Attack, Intelligence, Defense, and Speed for each creature of the same class fighting on your side. This trait does not stack.",Elder Mane
Rejuvenation,"At the start of your creatures' turns, they recover 12% Health for each creature of the same class fighting on your side. This trait does not stack.",Healer Mane
Recombobulation,"At the start of battle, your creatures are set to the same class, chosen randomly.",Justicar Mane
Blessing of Sands,Your creatures' traits and other effects act as if your party contains 3 more creatures that belong to the same class. This trait does not stack.,Ordainer Mane
Prejudice,"After this creature Attacks, it also attacks every other enemy that belongs to the same class as the target.",Usurper Mane
Pharaoh's Bane,"Enemies have 5% less Attack, Intelligence, Defense, and Speed for each creature of this creature's own class fighting on your side. This trait does not stack.",Zealot Mane
Ramses's Conspiracy,Cursed enemies take damage at the start of their turns equal to 25% of this creature's Intelligence. This trait does not stack.,Ramses's Mane
Ramses's Deception,"At the start of each Cursed enemy's turn, they have a 30% chance to Attack one of their allies. This trait does not stack.",Ramses's Crest
Ramses's Plot,Cursed enemies take damage at the start of their turns equal to 25% of this creature's Attack. This trait does not stack.,Ramses's Eye
Master of Sphinxes,Your Sphinxes start battles with Rebirth.,Sigil of the Sphinx
Essential Dignity,"After your creatures are healed, they gain a random buff. This trait does not stack.",Ancient Fluff
Abnegation,"After your creatures are healed, a random enemy takes damage equal to 50% of the amount of Health recovered. This trait does not stack.",Clairvoyant Fluff
Doom and Gloom,"When an enemy would afflict this creature with a debuff, this creature has a 50% chance to afflict that enemy with the debuff instead.",Evil Fluff
Benefic,"After your creatures are healed, they gain a Barrier that absorbs damage equal to 50% of the amount of Health recovered. This trait does not stack.",Exalted Fluff
Absence of Light,"After an enemy is healed, this creature decreases their lowest stat by 25%.",Fog Fluff
Dreams of Ice,"After your creatures are healed, they gain 25% Defense. This trait does not stack.",Frozen Fluff
Repetitive Holiday,"At the start of each of your creatures' turns, this creature has a 50% chance to be killed. If it's already dead, it has a 50% chance to be resurrected with 50% Health.",Holiday Gift
Stay Dead,"After an enemy is resurrected, this creature deals damage to all enemies equal to 60% of its Intelligence.",Malignant Fluff
Carnal Genesis,"After your creatures are healed, they have a 10% chance to move to the top of the Timeline. This trait does not stack.",Succubus Fluff
Everglow,Your creatures recover 100% more Health from healing effects. This trait does not stack.,Willow Fluff
Master of Spirits,Your Spirits' innate traits activate twice.,Sigil of the Storm
Prism,This creature's Spell Gems that have potency modifiers now use 100% of those stats.,Abstract Antler
Sun Prayer,Your creatures' 'Chance to Provoke' Spell Gem properties have double the chance to activate. This trait does not stack.,Celestial Antler
Moon Prayer,Your creatures' 'Chance to Defend' Spell Gem properties have double the chance to activate. This trait does not stack.,Guardian Antler
Christmas is Canceled,"At the start of battle, this creature afflicts 3 random enemies with Disarmed.",Reindeer Gift
Star Prayer,Your creatures' 'Chance to Attack' Spell Gem properties have double the chance to activate. This trait does not stack.,Idol Antler
Touched By The Gods,Your creatures' 'Chance to Cast Twice' Spell Gem properties now activate 1 additional time.,Overseer Antler
Endlessly,Your creatures' Spell Gems gain 50% more benefit from their 'More Charges' properties. This trait does not stack.,Royal Antler
Like Sand,Your creatures' 'Cascading' spells now consume 2 additional Charges while they have over 50% of their total Charges. This trait does not stack.,Spirit Antler
Master of Stags,"If all the creatures in your party are Stags, their innate traits are 100% more effective. This trait does not stack.",Sigil of the Stag
Best Kind of Weather,"At the start of battle, your creatures gain Snowstorm. This spell deals 100% more damage.",Blizzard Gift
Storm to Pass,"While this creature is above 90% Health, enemies have a 20% chance to lose their turn at the start of their turn. This trait does not stack.",Cyclone Cloud
Powershift,"While this creature is above 90% Health, it deals 100% more damage.",Hurricane Cloud
Damage Control,"While this creature is above 90% Health, your creatures take 65% less damage. This trait does not stack.",Lord Cloud
Wasted Age,"While this creature is above 90% Health, it is immune to damage from spells.",Malignant Storm
Cloud Connected,"While this creature is above 90% Health, it has Repelling and Immune.",Raving Cloud
Sailor's Warning,"While this creature is above 90% Health, it has 50% more Attack, Intelligence, Defense, and Speed.",Red Cloud
Eye of the Storm,"While this creature is above 90% Health, your creatures' Health cannot fall below 5%. This effect is ignored if the incoming damage would exceed 100% of the creature's Maximum Health.",Thunder Cloud
Master of Storms,"If all the creatures in your party are Storms, their innate traits now activate while they're above 60% Health.",Sigil of the Storm
Monster Crown,"At the start of this creature's turn, it kills your other creatures and gains 20% of their stats.",Tanukrook Pact
And You Get A Bomb,"At the start of battle, this creature afflicts 3 random enemies with Bomb.",Bloodbather Poison
Not Quite A Dud,"When an enemy's Bomb detonates at the start of their turn, there is a 50% chance the Bomb debuff won't be removed from the creature. This trait does not stack.",Decoy Poison
Imminent Danger,"After your creatures attack an enemy with Bomb, the potency of the Bomb increases by 20%. This trait does not stack.",Infector Poison
"Click, Click, Boom!","After this creature defends or provokes, enemies take damage from their Bomb debuffs.",Mutant Poison
Sharing Is Caring,"After an enemy's Bomb detonates, adjacent enemies take 100% of the detonation damage as well. This trait does not stack.",Parasite Poison
A Gift For You,This creature's attacks deal 75% more damage and afflict the target with Bomb.,Slasher Poison
Spoonor's Breath,"At the start of this creature's turn, it increases the potency of enemies' Poisoned debuffs by 50%.",Spoonor's Spoon
Spoonor's Gift,"At the start of this creature's turn, it increases the potency of enemies' Bomb debuffs by 50%.",Spoonor's Spork
Spoonor's Other Breath,"At the start of this creature's turn, it increases the potency of enemies' Burning debuffs by 50%.",Spoonor's Fork
Master of Toxdwellers,Enemies' Bomb debuffs have an independent 50% chance to detonate 1 additional time for each Toxdweller in your party. This trait does not stack.,Sigil of the Toxdweller
Stomp,"When an enemy attacks, it has a 35% chance to be interrupted. This trait does not stack.",Ahnkol Soil
Constrict,"At the start of this creature's turn, it afflicts a random enemy with Snared and Feared.",Ahnok Soil
Solidarity,"At the start of battle, this creature Seals your creatures' first 2 Spell Gems and gains copies of them.",Gorlum Soil
Twilight,"At the end of this creature's turn, if it didn't cause any damage during its turn, it Attacks a random enemy for 200% normal damage.",Hanyac Soil
Jolt,"At the end of each enemy's turn, they are afflicted with Stone. This trait does not stack.",Quamar Soil
Rattle,"After an enemy Defends or Provokes, this creature Attacks it and afflicts it with Stone. This trait does not stack.",Quarnok Soil
Shake,"When an enemy Casts a spell, it has a 35% chance to be interrupted. This trait does not stack.",Urhul Soil
Master of Tremors,Your Tremors have 25% more Defense for each Tremor fighting on your side. This trait does not stack.,Sigil of the Tremor
Mystery Brew,"After this creature Provokes, it casts a random Booze Spell for each time (up to 5) it has Provoked in the current battle.",Alemaster Sweat
Resin,"At the start of this creature's turn, it deals damage to a random enemy equal to 75% of its Attack.",Arsonist Sweat
